Column1.fillingType,Column1.abbreviatedName,Column1.advanced,Column1.unitCategoryId,Column1.categoryName,Column1.combinationOperation,Column1.conversionSteps,Column1.fillingValue,Column1.id,Column1.manualTracking,Column1.maximumValue,Column1.minimumValue,Column1.name,Column1.scale,Column1.suffix,Column1.synonyms,Column1.fontAwesome,Column1.image,Column1.maximumDailyValue
none,mi,1,2,Distance,,[List],,4,0,,0.0,Miles,ratio,,[List],,https://static.quantimo.do/img/fitness/png/measuring-tape.png,
none,kcal,1,7,Energy,SUM,[List],,22,0,,,Kilocalories,ratio,,[List],,https://static.quantimo.do/img/fitness/png/measuring-tape.png,20000.0
none,/10,0,5,Rating,,[List],,203,1,10.0,1.0,1 to 10 Rating,ordinal,,[List],,https://static.quantimo.do/img/fitness/png/measuring-tape.png,
none,kg,1,3,Weight,,[List],,5,1,,0.0,Kilograms,ratio,,[List],,https://static.quantimo.do/img/fitness/png/measuring-tape.png,
none,km,1,2,Distance,,[List],,16,0,,0.0,Kilometers,ratio,,[List],,https://static.quantimo.do/img/fitness/png/measuring-tape.png,
none,cal,1,7,Energy,,[List],,39,0,,,Calories,ratio,,[List],,https://static.quantimo.do/img/fitness/png/measuring-tape.png,20000.0
zero,capsules,1,13,Count,,[List],0.0,27,1,1000.0,0.0,Capsules,ratio,,[List],fas fa-medkit,https://static.quantimo.do/img/medical/png/pill.png,20.0
zero,mg,0,3,Weight,,[List],0.0,7,1,,0.0,Milligrams,ratio,Intake,[List],,https://static.quantimo.do/img/fitness/png/measuring-tape.png,1000000.0
zero,pieces,1,13,Count,,[List],0.0,28,1,,0.0,Pieces,ratio,,[List],,https://static.quantimo.do/img/fitness/png/measuring-tape.png,100.0
none,%,1,5,Rating,MEAN,[List],,21,1,,,Percent,interval,,[List],,https://static.quantimo.do/img/fitness/png/measuring-tape.png,
zero,puffs,1,13,Count,,[List],0.0,13,1,100.0,0.0,Puffs,ratio,,[List],,https://static.quantimo.do/img/fitness/png/measuring-tape.png,
zero,h,0,1,Duration,SUM,[List],0.0,34,1,,0.0,Hours,ratio,,[List],,https://static.quantimo.do/img/fitness/png/measuring-tape.png,24.0
